Date,IEF,AGG,BND,TLT,SHY,TIP,HYG,LQD,EMB,MUB,PFF,^GSPC,UDN,EURUSD=X,^VIX,CL=F,^IRX,^FVX,^TNX,^TYX
2020-07-31,122.63999938964844,119.44999694824219,89.3499984741211,170.14999389648438,86.62999725341797,125.54000091552734,85.19999694824219,138.13999938964844,113.0,116.83999633789062,36.150001525878906,3270.449951171875,21.139999389648438,1.1873664855957031,24.790000915527344,40.34000015258789,0.08299999684095383,0.21699999272823334,0.5299999713897705,1.1920000314712524
2020-08-03,122.5199966430664,119.37000274658203,89.31999969482422,169.24000549316406,86.55999755859375,125.8499984741211,85.02999877929688,137.9499969482422,113.0,116.69999694824219,36.11000061035156,3288.260009765625,20.969999313354492,1.1784114837646484,25.75,40.38999938964844,0.08299999684095383,0.21899999678134918,0.5590000152587891,1.246000051498413
2020-08-04,122.83000183105469,119.41999816894531,89.37000274658203,170.8300018310547,86.58000183105469,126.26000213623047,84.97000122070312,138.49000549316406,113.27999877929688,116.77999877929688,36.0,3289.919921875,20.959999084472656,1.1760554313659668,24.010000228881836,40.779998779296875,0.09300000220537186,0.21400000154972076,0.5379999876022339,1.2109999656677246
2020-08-05,122.75,119.38999938964844,89.37000274658203,170.05999755859375,86.56999969482422,126.2699966430664,85.05999755859375,138.5399932861328,113.98999786376953,116.75,36.0099983215332,3317.3701171875,21.219999313354492,1.1814883947372437,23.440000534057617,41.560001373291016,0.09000000357627869,0.20100000500679016,0.5299999713897705,1.2170000076293945
2020-08-06,122.88999938964844,119.62000274658203,89.4800033569336,171.3800048828125,86.56999969482422,126.6500015258789,85.19000244140625,138.99000549316406,114.33999633789062,116.98999786376953,36.040000915527344,3323.169921875,21.190000534057617,1.1873664855957031,23.030000686645508,42.189998626708984,0.09300000220537186,0.20399999618530273,0.5220000147819519,1.1920000314712524
2020-08-07,122.83000183105469,119.66000366210938,89.55000305175781,171.27999877929688,86.55999755859375,126.58999633789062,85.3499984741211,139.2899932861328,114.38999938964844,117.22000122070312,35.9900016784668,3340.050048828125,21.079999923706055,1.1875073909759521,23.450000762939453,41.970001220703125,0.08299999684095383,0.21199999749660492,0.531000018119812,1.187999963760376
2020-08-10,122.69999694824219,119.62000274658203,89.4800033569336,170.22000122070312,86.55999755859375,126.38999938964844,85.26000213623047,138.97999572753906,114.54000091552734,117.23999786376953,36.099998474121094,3356.0400390625,21.040000915527344,1.1782448291778564,22.8799991607666,41.5,0.08799999952316284,0.21799999475479126,0.5540000200271606,1.2300000190734863
2020-08-11,121.95999908447266,119.11000061035156,89.0999984741211,167.1699981689453,86.5199966430664,125.79000091552734,85.25,138.0,114.6500015258789,117.16000366210938,36.25,3370.340087890625,21.040000915527344,1.1737639904022217,21.850000381469727,41.97999954223633,0.10300000011920929,0.257999986410141,0.6100000143051147,1.2879999876022339
2020-08-12,121.6500015258789,118.7300033569336,88.8499984741211,165.6999969482422,86.5,125.83999633789062,84.80999755859375,137.5,113.98999786376953,117.16999816894531,36.22999954223633,3355.4599609375,21.040000915527344,1.1739845275878906,22.81999969482422,41.619998931884766,0.10000000149011612,0.29600000381469727,0.675000011920929,1.3669999837875366
2020-08-13,121.5999984741211,118.77999877929688,88.7699966430664,165.30999755859375,86.48999786376953,125.9000015258789,84.4800033569336,137.14999389648438,114.11000061035156,116.9800033569336,36.40999984741211,3372.949951171875,21.110000610351562,1.1796486377716064,22.200000762939453,42.56999969482422,0.09300000220537186,0.29600000381469727,0.6819999814033508,1.3700000047683716
